record_id,teacher_id,teacher_name,state,district,block,school_id,school_name,subject,grade,project_id,project_title,submission_date,status,student_count,pre_test_score,post_test_score,improvement_raw,training_hours,mentor_name,feedback_rating,last_updated,remarks
27,T1061,Amit Yadav,Punjab,Kohima,Block A,SCH009,Mission School No. 1, Eng ,7,MI10059,Improving basic numeracy,2025-04-03,SUBMITTED,24,9,19,10,10.7,Simran Kaur,4,2025-04-11 00:00:00,Need support with data entry
28,T1037,Suresh Kaur,Bihar,Dimapur,Block A,SCH049,Govt High School East,Science,10,MI10006,Science lab activities,2025-04-12, Approved,23,31,42,11,10.0,Anamika Singh,6,2025-04-19 00:00:00,Data not verified yet
29,T1060,Rohit Kaur,Punjab,Gaya,Block D,SCH023,Mission School East,maths,8th,MI10026,Homework support group,2025-04-20,Draft,50,73,77,4,14.9,Ayesha Khan,4,2025-04-24 00:00:00,Great improvement shown
30,T1080,Rohit Kaur,Punjab,Gaya,Rural,SCH042,Govt High School Central, Eng ,6,MI10094,Reading fluency project,12-01-25,Rejected,21,69,92,23,16.1,Simran Kaur,4,2025-01-13 00:00:00,Great improvement shown
31,T1051,Neha Kumar,Nagaland,Patna,Block C,SCH035,Govt High School East,MATH,10,MI10106,Science lab activities,2025-01-14,Rejected,,71%,76,,2.8,Ayesha Khan,4,2025-01-15 00:00:00,Need support with data entry
32,T1048,Amit Das,Punjab,Dimapur,Rural,SCH007,Model School West,Mathematic,10,,Science lab activities,2025-01-28, Draft,17,47%,59,,1.8,Ravi Kumar,5,2025-01-28 00:00:00,Need support with data entry
33,T1073, Suresh Kumar ,Punjab,Amritsar,Block B,SCH022,ZP School West,Math,10,MI10019,Reading fluency project,2025-03-11,Draft,-5,120,2,-118%,10.5,Ayesha Khan,3,2025-03-19 00:00:00,
34,T1006,Rohit Yadav,Bihar,Patna,Block D,SCH055,Model School East,SOC SCI,7,MI10117,Homework support group,10/01/2025,Approved,13,16,19,3,8.6,Ayesha Khan,5,2025-01-13 00:00:00,Teacher changed mid-term
35,T1059, Amit Yadav ,Bihar,Varanasi,Block D,SCH021,Mission School Central,Science,8th,MI10107,Improving basic numeracy,2025-01-12, in review,21,71,67,-4,17.4,Ayesha Khan,5,2025-01-16 00:00:00,Follow-up visit required
36,T1062,Suresh Kumar,Uttar Pradesh,Varanasi,Block A,SCH049,Mission School West,Social Science,Class 7,MI10099,Peer learning circles,2025-03-20,In-Review,,,29,,8.0,Ravi Kumar,1,2025-03-21 00:00:00,Data not verified yet
37,T1021,Neha Singh,Uttar Pradesh,Gaya,Block A,SCH010,ZP School West,Math  ,7,MI10085,Homework support group,2025-03-04,Rejected,70,14,20,6%,12.0,Ayesha Khan,2,2025-03-06 00:00:00,Follow-up visit required
38,T1056, Anita Devi ,Nagaland,Amritsar,Urban,SCH036,Mission School No. 1,Mathematic,6,MI10059,Improving basic numeracy,2025-04-21,Rejected,58,37,35,-2,8.7,Ayesha Khan,5,2025-04-27 00:00:00,
39,T1029, Neha Devi ,Bihar,Gaya,Urban,SCH033,ZP School Central,MATH,8,MI10019,Science lab activities,2025-01-26,Draft,14,22,47,25,12.7,Anamika Singh,3,2025-01-28 00:00:00,Teacher changed mid-term
40,T1036, Rahul Singh ,Bihar,Lucknow,Block D,SCH029,Govt High School No. 1,MATH,10,MI10111,Improving basic numeracy,2025-03-20,Rejected,75,5,14,9,16.2,Simran Kaur,1,2025-03-28 00:00:00,Data not verified yet
41,T1057,Anita Singh,Uttar Pradesh,Lucknow,Block D,SCH027,Mission School West,Math,Class 6,MI10013,Peer learning circles,2025-03-28,Approved,24,42,39,-3,18.8,Simran Kaur,3,2025-03-30 00:00:00,Data not verified yet
42,T1068,Priya Kaur,Nagaland,Varanasi,Block A,SCH024,Mission School No. 2,Social Science,Class 6,MI10063,Reading fluency project,2025-13-01,Approved,17,64,83,19,3.1,Ravi Kumar,5,2025-01-31 00:00:00,Data not verified yet
43,T1031,Sunita Das,Uttar Pradesh,Kohima,Block B,SCH035,ZP School Central, Eng ,9,MI10074,Homework support group,01/03/2025, SUBMITTED,72,53,78,25,18.7,Anamika Singh,3,2025-03-02 00:00:00,Great improvement shown
44,T1056,Priya Devi,Nagaland,Varanasi,Block A,SCH027,Govt High School East,sci,Class 6,MI10011,Science lab activities,2025-01-29,Submitted,47,120,17,-103,18.1,Ayesha Khan,2,2025-02-06 00:00:00,Data not verified yet
45,T1031,Rohit Kumar,Bihar,Amritsar,Block D,SCH041,Model School No. 1,English,8th,MI10003,Peer learning circles,2025-03-15,Draft,5,78,84,6%,10.1,Anamika Singh,4,2025-03-22 00:00:00,Need support with data entry
46,T1003,Neha Kumar,Uttar Pradesh,Amritsar,Rural,SCH043,Govt High School West,MATH  ,8,,Peer learning circles,13/02/2025,Draft,64,61,76,15,17.7,Simran Kaur,5,2025-02-19 00:00:00,
47,T1037,Neha Kumar,Uttar Pradesh,Lucknow,Block A,SCH052,Mission School East,Mathematic  ,8th,MI10050,Science lab activities,2025-01-24,Rejected,71,34,54,20,2 hrs,Simran Kaur,3,2025-01-31 00:00:00,
48,T1058,Rahul Kaur,Uttar Pradesh,Dimapur,Block C,SCH041,Govt High School No. 1,SOC SCI,Class 7,MI10103,Reading fluency project,2025-01-04,In-Review,61,4,3,-1,19.0,Simran Kaur,1,2025-01-13 00:00:00,Great improvement shown
49,T1032,Priya Kumar,Punjab,Kohima,Urban,SCH025,Govt High School Central,maths,8th,MI10079,Science lab activities,30-03-25, Submitted,-5,9,18,9,14.2,Anamika Singh,3,2025-04-01 00:00:00,Data not verified yet
50,T1047, Suresh Kumar ,Punjab,Ludhiana,Block B,SCH051,Model School No. 1,MATH,IX,MI10060,Peer learning circles,2025-01-17,Submitted,30+,50,67,17,9.0,Anamika Singh,5,2025-01-27 00:00:00,
51,T1008, Priya Das ,Punjab,Lucknow,Block B,SCH011,Mission School No. 2,MATH,IX,MI10109,Improving basic numeracy,2025-02-02,In-Review,43,78,90,12,6.8,Anamika Singh,NA,2025-02-02 00:00:00,Need support with data entry
52,T1027,Amit Das,Bihar,Kohima,Rural,SCH035,Mission School Central, Eng ,9,MI10088,Homework support group,2025-02-08,in review,30+,56,64,8,19.5,Ravi Kumar,5,2025-02-16 00:00:00,Need support with data entry
53,T1032, Anita Kumar ,Bihar,Lucknow,Block D,SCH056,Model School No. 2,Science  ,Class 6,MI10093,Science lab activities,25/01/2025, Rejected,64,63,-10,-73,1.0,John Doe,4,2025-01-29 00:00:00,
54,T1034,Neha Yadav,Uttar Pradesh,Patna,Block D,SCH004,ZP School Central,sci  ,10,MI10065,Homework support group,2025-04-08,SUBMITTED,20,16,14,-2%,10.0,Ayesha Khan,NA,2025-04-13 00:00:00,Teacher changed mid-term
55,T1018, Neha Das ,Uttar Pradesh,Ludhiana,Block D,SCH040,Mission School West,MATH,IX,MI10069,Homework support group,2025-04-01,Rejected,52,42,58,16,5.3,Anamika Singh,1,2025-04-10 00:00:00,Teacher changed mid-term
56,T1049, Anita Kaur ,Punjab,Patna,Urban,SCH045,Govt High School No. 2,Math,8th,MI10020,Homework support group,2025-03-30,In-Review,65,7,24,17,18.2,Simran Kaur,3,2025-04-08 00:00:00,Teacher changed mid-term
57,T1029,Rohit Singh,Punjab,Kohima,Block C,SCH031,Mission School West,maths,10,MI10087,Peer learning circles,18/02/2025, Rejected,23,37,33,-4,10.8,Anamika Singh,2,2025-02-19 00:00:00,
58,T1068,Suresh Kaur,Punjab,Patna,Block A,SCH027,Mission School East,English  ,8,,Peer learning circles,2025-04-29,in review,65,61,76,15%,10.7,Ayesha Khan,2,2025-05-05 00:00:00,Great improvement shown
59,T1064,Anita Kaur,Uttar Pradesh,Patna,Block A,SCH020,Govt High School Central,maths,8th,MI10070,Peer learning circles,05/03/2025, Draft,64,34,35,1%,5.9,Ravi Kumar,5.0,2025-03-15 00:00:00,Teacher changed mid-term
60,T1013,Anita Devi,Nagaland,Varanasi,Block B,SCH001,Mission School East,Social Science,8th,MI10043,Science lab activities,16/03/2025,Submitted,51,30,26,-4,13.8,Simran Kaur,2,2025-03-19 00:00:00,Great improvement shown
61,T1048,Amit Kaur,Nagaland,Amritsar,Block B,SCH044,Govt High School West, Eng ,IX,MI10010,Peer learning circles,2025-01-15, In-Review,30,73,85,12,,Anamika Singh,1,2025-01-22 00:00:00,Great improvement shown
62,T1060,Rohit Kaur,Bihar,Dimapur,Block C,SCH053,Govt High School No. 2,social science ,7,,Science lab activities,2025-03-31,Submitted,13,60,56,-4,17.8,John Doe,4,2025-04-06 00:00:00,Need support with data entry
63,T1045,Priya Devi,Nagaland,Ludhiana,Rural,SCH015,Govt High School No. 1,maths,8th,MI10070,Homework support group,2025-03-10,Draft,49,19,22%,,17.8,Ravi Kumar,1,2025-03-19 00:00:00,Need support with data entry
64,T1032, Rahul Yadav ,Nagaland,Amritsar,Urban,SCH014,Govt High School No. 2,sci,10,MI10118,Peer learning circles,2025-02-10,SUBMITTED,46,30,34,4,14.7,Ravi Kumar,4,2025-02-18 00:00:00,Teacher changed mid-term
65,T1049,Neha Kaur,Nagaland,Dimapur,Block B,SCH020,Model School No. 2,sci,8th,MI10029,Science lab activities,20/04/2025, SUBMITTED,12,71,79,8,16.9,Ayesha Khan,2,2025-04-20 00:00:00,Follow-up visit required
66,T1010,Suresh Das,Punjab,Kohima,Block B,SCH056,Mission School Central,Math,9,MI10095,Improving basic numeracy,06-04-25,Draft,31,50,74,24,17.7,John Doe,NA,2025-04-13 00:00:00,Follow-up visit required
67,T1073,Suresh Kaur,Punjab,Patna,Block C,SCH036,Model School Central,Science,9,MI10049,Peer learning circles,2025-04-17,In-Review,48,32,51,19,14.4,John Doe,5.0,2025-04-25 00:00:00,Data not verified yet
68,T1010,Rahul Kumar,Nagaland,Ludhiana,Rural,SCH015,Govt High School No. 2,Math,9,MI10048,Improving basic numeracy,2025-03-21,In-Review,67,2%,-3,,14.0,John Doe,2,2025-03-22 00:00:00,Need support with data entry
69,T1033,Neha Singh,Nagaland,Gaya,Block C,SCH026,Model School West,Social Science,9,MI10106,Improving basic numeracy,25-03-25,Submitted,30+,48%,55,,11.3,Ayesha Khan,1,2025-03-28 00:00:00,Great improvement shown
70,T1035,Rahul Kumar,Uttar Pradesh,Patna,Block B,SCH060,Mission School No. 1,Social Science,Ten,MI10106,Homework support group,2025-04-29,Draft,77,49,65,16,19.5,Ayesha Khan,NA,2025-05-02 00:00:00,Need support with data entry
71,T1051, Neha Kumar ,Uttar Pradesh,Kohima,Block D,SCH015,Mission School West,Mathematic,Class 7,MI10075,Homework support group,11/01/2025,Approved,14,10,13,3%,,Simran Kaur,3,2025-01-12 00:00:00,Great improvement shown
72,T1066,Amit Kumar,Bihar,Gaya,Block C,SCH036,Govt High School West,social science ,Class 6,MI10002,Science lab activities,2025-02-22,Submitted,76,31,44,13%,5.5,Simran Kaur,1,2025-02-27 00:00:00,Follow-up visit required
73,T1079,Suresh Yadav,Bihar,Ludhiana,Block C,SCH001,Model School Central,social science ,Class 7,MI10043,Homework support group,2025-02-12, SUBMITTED,22,38,43,5,12.7,Anamika Singh,3,2025-02-18 00:00:00,Follow-up visit required
74,T1073,Suresh Das,Punjab,Patna,Rural,SCH030,ZP School East,maths  ,7,MI10102,Homework support group,2025-03-28,in review,37,19,36,17,17.4,John Doe,3,2025-04-05 00:00:00,
75,T1046,Anita Kaur,Bihar,Dimapur,Block C,SCH051,Model School No. 1,Math,7,MI10066,Peer learning circles,2025-03-13,In-Review,52,,59,NA,19.2,Ayesha Khan,2,2025-03-18 00:00:00,Follow-up visit required
76,T1045,Sunita Kumar,Nagaland,Kohima,Block C,SCH005,Mission School No. 1,English,6,MI10083,Improving basic numeracy,28/03/2025,in review,27,70,70,0%,7.9,Anamika Singh,4,2025-04-06 00:00:00,Teacher changed mid-term
77,T1009, Priya Das ,Punjab,Varanasi,Block C,SCH013,Model School No. 1,maths,8th,MI10082,Science lab activities,2025-03-18,Rejected,49,45,67,22,6.3,Ravi Kumar,2,2025-03-23 00:00:00,Data not verified yet
78,T1074,Amit Yadav,Punjab,Kohima,Rural,SCH035,ZP School West,Science,8th,MI10024,Science lab activities,2025-04-18,Submitted,6,62,61,-1,8.9,Ravi Kumar,NA,2025-04-18 00:00:00,Great improvement shown
79,T1022,Sunita Das,Nagaland,Gaya,Urban,SCH008,Mission School West,MATH,IX,MI10006,Homework support group,2025-03-11,Rejected,-5,31,-10,-41,2 hrs,Ravi Kumar,5,2025-03-16 00:00:00,Data not verified yet
80,T1027,Suresh Kumar,Uttar Pradesh,Lucknow,Urban,SCH035,ZP School Central,maths,10,MI10110,Peer learning circles,2025-04-26, Submitted,-5,52,76,24%,5.0,John Doe,5,2025-05-06 00:00:00,Follow-up visit required
81,T1012, Amit Das ,Uttar Pradesh,Varanasi,Block D,SCH032,Mission School West,Math,7,MI10059,Science lab activities,2025-04-19, In-Review,59,27,37,10,13.7,Ayesha Khan,NA,2025-04-29 00:00:00,Teacher changed mid-term
82,T1059, Rahul Yadav ,Punjab,Ludhiana,Rural,SCH020,ZP School Central,English,Class 6,MI10048,Reading fluency project,2025-01-07,Approved,34,54,69,15,0.2,Simran Kaur,4,2025-01-09 00:00:00,Teacher changed mid-term
83,T1014, Priya Singh ,Uttar Pradesh,Lucknow,Block B,SCH025,ZP School No. 2,English,IX,MI10079,Reading fluency project,2025-02-26,Draft,24,52,66,14,19.3,Simran Kaur,2,2025-03-02 00:00:00,Data not verified yet
84,T1078, Rohit Kaur ,Bihar,Lucknow,Block B,SCH034,ZP School East,maths,6,MI10102,Reading fluency project,2025-03-05, Draft,14,67,90,23,13.7,John Doe,1,2025-03-05 00:00:00,
85,T1008,Amit Das,Uttar Pradesh,Dimapur,Block D,SCH045,Model School No. 1,SOC SCI  ,IX,MI10020,Science lab activities,2025-01-11,In-Review,24,68,73,5,16.9,Ayesha Khan,4,2025-01-12 00:00:00,Teacher changed mid-term
86,T1023,Priya Kumar,Punjab,Patna,Block B,SCH032,Mission School West,sci,10,MI10017,Science lab activities,04/04/2025,SUBMITTED,47,54,57,3,,Anamika Singh,5.0,2025-04-06 00:00:00,Follow-up visit required
87,T1015,Suresh Kaur,Bihar,Patna,Block A,SCH016,Govt High School East,MATH,Class 7,MI10023,Improving basic numeracy,12/03/2025,in review,58,28,33,5%,1.1,Ravi Kumar,1,2025-03-18 00:00:00,Need support with data entry
88,T1040,Neha Kumar,Nagaland,Patna,Block C,SCH013,Mission School West,maths,Ten,MI10048,Peer learning circles,05-03-25,in review,36,19,-10,-29%,15.2,John Doe,3,2025-03-06 00:00:00,Great improvement shown
89,T1008,Anita Kaur,Uttar Pradesh,Gaya,Block A,SCH059,ZP School West,Mathematic  ,Class 6,MI10096,Improving basic numeracy,2025-03-16,Draft,55,9,22,13,14.0,Simran Kaur,3,2025-03-19 00:00:00,Need support with data entry
90,T1014,Anita Kumar,Punjab,Kohima,Block D,SCH021,Model School No. 1,sci,Class 6,MI10027,Homework support group,2025-02-09,SUBMITTED,-5,20,40%,,,Ravi Kumar,4,2025-02-17 00:00:00,Need support with data entry
91,T1004, Amit Yadav ,Punjab,Gaya,Block D,SCH007,ZP School No. 1,Math,6,MI10029,Reading fluency project,26/01/2025,Approved,15,74%,87%,,2 hrs,Simran Kaur,6,2025-02-02 00:00:00,Need support with data entry
92,T1051,Sunita Kumar,Nagaland,Dimapur,Block B,SCH023,ZP School No. 2,maths,10,MI10020,Improving basic numeracy,2025-03-20,Draft,68,52,75,23,12.6,Anamika Singh,4,2025-03-25 00:00:00,Teacher changed mid-term
93,T1065,Neha Yadav,Uttar Pradesh,Ludhiana,Block A,SCH021,ZP School No. 1,maths,6,MI10061,Peer learning circles,15/02/2025,Draft,17,31,47,16,19.7,John Doe,2,2025-02-17 00:00:00,Great improvement shown
94,T1076,Rahul Kaur,Uttar Pradesh,Ludhiana,Urban,SCH013,Model School West,maths,8,MI10012,Improving basic numeracy,2025-01-30,Submitted,5,42,66,24,,Ravi Kumar,2,2025-01-31 00:00:00,
95,T1051,Priya Singh,Uttar Pradesh,Varanasi,Block B,SCH011,Model School East,SOC SCI,Class 6,MI10072,Peer learning circles,2025-04-11,in review,27,48,52%,,15.4,Anamika Singh,NA,2025-04-20 00:00:00,Follow-up visit required
96,T1073,Priya Yadav,Punjab,Varanasi,Rural,SCH005,ZP School Central,MATH,8,MI10012,Science lab activities,2025-02-27, Draft,13,44%,47,NA,17.6,Simran Kaur,1,2025-03-06 00:00:00,
97,T1010, Rahul Singh ,Bihar,Varanasi,Block C,SCH007,Govt High School Central,Science,Class 7,MI10010,Peer learning circles,01/05/2025,Submitted,66,3,11,8,13.9,Anamika Singh,3,2025-05-05 00:00:00,Great improvement shown
98,T1063,Anita Kumar,Uttar Pradesh,Patna,Block D,SCH006,Mission School West, Eng ,9,MI10027,Reading fluency project,2025-03-23,Submitted,19,39,59,20%,7.4,John Doe,NA,2025-03-30 00:00:00,Teacher changed mid-term
99,T1020,Priya Kumar,Uttar Pradesh,Dimapur,Urban,SCH015,Govt High School East,sci,Class 7,MI10088,Homework support group,15/03/2025,Rejected,55,4,15,11,19.0,Ravi Kumar,2,2025-03-17 00:00:00,Need support with data entry
100,T1019,Rohit Singh,Bihar,Gaya,Block D,SCH036,Model School West,MATH,10,MI10118,Improving basic numeracy,11/04/2025,In-Review,58,14,22,8%,15.7,Anamika Singh,4,2025-04-15 00:00:00,Teacher changed mid-term
101,T1023,Rohit Yadav,Punjab,Dimapur,Block A,SCH026,Mission School No. 2,Math,8th,MI10115,Science lab activities,2025-01-03,SUBMITTED,40,62,84,22,5.4,John Doe,1,2025-01-06 00:00:00,Teacher changed mid-term
102,T1067,Neha Kumar,Punjab,Gaya,Block C,SCH046,Model School No. 2,sci,Ten,,Reading fluency project,23/04/2025,SUBMITTED,30+,4,13,9,13.6,Ravi Kumar,5,2025-04-30 00:00:00,Great improvement shown
103,T1045,Anita Singh,Bihar,Lucknow,Block A,SCH025,Govt High School No. 2,social science ,9,MI10083,Reading fluency project,2025-03-28,in review,7,1,11%,,19.3,Simran Kaur,4,2025-04-02 00:00:00,Teacher changed mid-term
104,T1080,Amit Das,Bihar,Patna,Urban,SCH043,Mission School West,SOC SCI,Ten,MI10039,Improving basic numeracy,2025-03-03,Approved,40,33,48,15,16.0,Anamika Singh,3,2025-03-13 00:00:00,Great improvement shown
105,T1034,Amit Yadav,Nagaland,Patna,Urban,SCH046,ZP School Central,Social Science,IX,MI10061,Science lab activities,2025-03-06,Draft,76,23,27,4%,6.7,Ayesha Khan,2,2025-03-10 00:00:00,Teacher changed mid-term
106,T1038, Sunita Kumar ,Nagaland,Patna,Rural,SCH038,Govt High School East,Social Science,IX,MI10088,Homework support group,2025-03-09,Submitted,24,17,18,1,1.6,Simran Kaur,2,2025-03-14 00:00:00,Data not verified yet
107,T1022,Anita Yadav,Bihar,Ludhiana,Urban,SCH028,Model School East,Mathematic,8th,MI10005,Peer learning circles,26/01/2025,Submitted,72,24,19,-5%,11.8,Ravi Kumar,NA,2025-01-26 00:00:00,Follow-up visit required
108,T1068,Neha Yadav,Punjab,Varanasi,Block D,SCH023,ZP School No. 2,Mathematic  ,6,MI10094,Reading fluency project,28/01/2025,In-Review,20,46,-10,-56%,13.2,Ayesha Khan,NA,2025-01-29 00:00:00,Teacher changed mid-term
109,T1020,Suresh Kaur,Bihar,Lucknow,Block D,SCH043,Govt High School West,maths,Ten,MI10018,Homework support group,17/04/2025,In-Review,20,36,34,-2,8.2,Ravi Kumar,NA,2025-04-24 00:00:00,Great improvement shown
110,T1002,Priya Kumar,Nagaland,Ludhiana,Block A,SCH050,Govt High School No. 1,maths  ,9,MI10038,Science lab activities,2025-03-01,SUBMITTED,10,37,43,6%,13.3,Ravi Kumar,4,2025-03-10 00:00:00,Follow-up visit required
111,T1024,Priya Yadav,Nagaland,Kohima,Block C,SCH054,Model School East,Mathematic  ,8,MI10090,Improving basic numeracy,01/05/2025,Submitted,80,61,81,20,14.5,Ravi Kumar,4,2025-05-02 00:00:00,Teacher changed mid-term
112,T1002,Suresh Kaur,Uttar Pradesh,Gaya,Block D,SCH043,ZP School East,MATH,Class 7,MI10106,Peer learning circles,2025-13-01, in review,69,60,82,22,11.0,John Doe,2,2025-04-26 00:00:00,Teacher changed mid-term
113,T1064, Sunita Singh ,Bihar,Kohima,Rural,SCH042,Govt High School No. 1,Mathematic,Class 7,,Peer learning circles,01/01/2025, SUBMITTED,43,65,77,12,11.2,Anamika Singh,3,2025-01-08 00:00:00,Need support with data entry
114,T1046,Rohit Das,Uttar Pradesh,Gaya,Block A,SCH058,ZP School East,Science  ,Class 7,MI10079,Reading fluency project,2025-01-25,SUBMITTED,63,24%,41,NA,9.1,Anamika Singh,2,2025-02-01 00:00:00,Need support with data entry
115,T1075,Sunita Das,Punjab,Ludhiana,Rural,SCH053,ZP School No. 1,Mathematic,Ten,MI10042,Peer learning circles,2025-04-23,In-Review,36,35,42,7,6.0,Anamika Singh,5,2025-05-03 00:00:00,Great improvement shown
116,T1045, Anita Kaur ,Punjab,Varanasi,Rural,SCH008,Mission School West, Eng ,Ten,MI10086,Homework support group,28/03/2025, SUBMITTED,59,1%,12%,,13.7,Ravi Kumar,3,2025-03-31 00:00:00,
117,T1072, Suresh Kaur ,Nagaland,Amritsar,Urban,SCH051,Mission School No. 1,Mathematic  ,Class 7,MI10101,Science lab activities,2025-03-12,in review,61,28,52,24%,3.9,John Doe,5.0,2025-03-22 00:00:00,Need support with data entry
